-1,-1,-1,-1,7,-1,0,0,-1
0,1,1,0,-1,-1,-1,-1,-1
1,1,1,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,0
1,1,1,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,18,1,0,1,-1
2,3,0,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,18,1,1,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,0
0,1,1,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,19,3,0,0,-1
2,2,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,8,1,0,0,-1
2,3,0,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,8,1,1,0,-1
-1,-1,-1,-1,19,3,1,0,-1
-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,1
0,3,0,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,7,-1,1,0,-1
