-1,-1,-1,-1,16,-1,0,0,-1
2,1,1,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,0
1,1,0,0,-1,-1,-1,-1,-1
1,1,0,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,11,1,0,0,-1
3,3,0,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,11,1,1,0,-1
0,1,0,0,-1,-1,-1,-1,-1
2,1,1,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,4,3,0,0,-1
3,2,1,1,-1,-1,-1,-1,-1
0,1,0,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,17,1,0,1,-1
3,3,0,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,17,1,1,1,-1
-1,-1,-1,-1,4,3,1,0,-1
-1,-1,-1,-1,-1,-1,-1,-1,1
2,1,1,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,4,3,0,0,-1
3,2,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,4,3,1,0,-1
-1,-1,-1,-1,16,-1,1,0,-1
