9,-1,-1,-1,-1,3,0,-1
1,1,0,0,-1,-1,-1,-1
6,2,1,1,-1,-1,-1,-1
8,2,1,1,-1,-1,-1,-1
3,3,1,1,-1,-1,-1,-1
4,1,1,0,-1,-1,-1,-1
7,3,1,1,-1,-1,-1,-1
0,1,0,0,-1,-1,-1,-1
9,-1,-1,-1,-1,-1,-1,0
8,2,1,1,-1,-1,-1,-1
9,-1,-1,-1,-1,-1,-1,0
5,2,1,1,-1,-1,-1,-1
9,-1,-1,-1,-1,-1,-1,0
8,2,1,1,-1,-1,-1,-1
5,2,1,1,-1,-1,-1,-1
1,1,0,0,-1,-1,-1,-1
9,-1,-1,-1,-1,-1,-1,0
5,2,1,1,-1,-1,-1,-1
9,-1,-1,-1,-1,-1,-1,1
9,-1,-1,-1,-1,-1,-1,0
5,2,1,1,-1,-1,-1,-1
9,-1,-1,-1,-1,-1,-1,1
9,-1,-1,-1,-1,-1,-1,2
9,-1,-1,-1,-1,-1,-1,1
2,2,1,1,-1,-1,-1,-1
2,2,1,1,-1,-1,-1,-1
9,-1,-1,-1,-1,-1,-1,1
9,-1,-1,-1,-1,-1,-1,1
9,-1,-1,-1,-1,3,1,-1
