-1,-1,-1,-1,11,3,0,0,-1
2,2,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,0
2,2,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,0
2,2,1,1,-1,-1,-1,-1,-1
0,2,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,0
1,2,1,1,-1,-1,-1,-1,-1
1,2,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,0
1,2,1,1,-1,-1,-1,-1,-1
0,2,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,2
-1,-1,-1,-1,-1,-1,-1,-1,1
0,2,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,19,0,0,0,-1
2,1,0,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,19,0,1,0,-1
-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,2
-1,-1,-1,-1,11,3,1,0,-1
