17,-1,-1,-1,-1,-1,0,-1
17,-1,-1,-1,-1,-1,0,-1
17,-1,-1,-1,-1,-1,1,-1
13,1,0,0,-1,-1,-1,-1
17,-1,-1,-1,-1,-1,0,-1
17,-1,-1,-1,-1,-1,1,-1
4,1,0,0,-1,-1,-1,-1
1,1,0,0,-1,-1,-1,-1
16,3,0,1,-1,-1,-1,-1
2,1,0,0,-1,-1,-1,-1
6,1,0,0,-1,-1,-1,-1
7,2,1,1,-1,-1,-1,-1
10,2,1,1,-1,-1,-1,-1
12,1,0,0,-1,-1,-1,-1
8,2,1,1,-1,-1,-1,-1
5,3,0,1,-1,-1,-1,-1
3,2,1,1,-1,-1,-1,-1
9,1,0,0,-1,-1,-1,-1
11,2,1,1,-1,-1,-1,-1
0,1,0,0,-1,-1,-1,-1
14,1,0,0,-1,-1,-1,-1
15,1,0,0,-1,-1,-1,-1
17,-1,-1,-1,-1,-1,0,-1
17,-1,-1,-1,-1,-1,1,-1
